RUNID,DB,WORKLOAD,THREADS,RECORDS,OP,METRIC,VALUE
1,cassandra,workloadc,8,2000000,[OVERALL],RunTime(ms),62236
1,cassandra,workloadc,8,2000000,[OVERALL],Throughput(ops/sec),8507.26267754997
1,cassandra,workloadc,8,2000000,[READ],Operations,529458
1,cassandra,workloadc,8,2000000,[READ],AverageLatency(us),897.5231991961591
1,cassandra,workloadc,8,2000000,[READ],MinLatency(us),73
1,cassandra,workloadc,8,2000000,[READ],MaxLatency(us),147839
1,cassandra,workloadc,8,2000000,[READ],95thPercentileLatency(us),1311
1,cassandra,workloadc,8,2000000,[READ],99thPercentileLatency(us),2141
1,cassandra,workloadc,8,2000000,[READ],Return=OK,529458
