RUNID,DB,WORKLOAD,THREADS,RECORDS,OP,METRIC,VALUE
1,cassandra,workloade,16,5000000,[OVERALL],RunTime(ms),910412
1,cassandra,workloade,16,5000000,[OVERALL],Throughput(ops/sec),27.6600044814875
1,cassandra,workloade,16,5000000,[INSERT],Operations,1242
1,cassandra,workloade,16,5000000,[INSERT],AverageLatency(us),41106.15136876007
1,cassandra,workloade,16,5000000,[INSERT],MinLatency(us),374
1,cassandra,workloade,16,5000000,[INSERT],MaxLatency(us),2721791
1,cassandra,workloade,16,5000000,[INSERT],95thPercentileLatency(us),242687
1,cassandra,workloade,16,5000000,[INSERT],99thPercentileLatency(us),775167
1,cassandra,workloade,16,5000000,[INSERT],Return=OK,1242
1,cassandra,workloade,16,5000000,[SCAN],Operations,22393
1,cassandra,workloade,16,5000000,[SCAN],AverageLatency(us),155715.50140668958
1,cassandra,workloade,16,5000000,[SCAN],MinLatency(us),537
1,cassandra,workloade,16,5000000,[SCAN],MaxLatency(us),6946815
1,cassandra,workloade,16,5000000,[SCAN],95thPercentileLatency(us),594431
1,cassandra,workloade,16,5000000,[SCAN],99thPercentileLatency(us),3864575
1,cassandra,workloade,16,5000000,[SCAN],Return=OK,22393
1,cassandra,workloade,16,5000000,[SCAN],Return=ERROR,1547
